Date,Open,High,Low,Close,Increment,Return,Volume,Turnover
2010-08-26,18.3310,18.4060,18.1020,18.1250,-0.2133,-1.1632,"49,105,276",0
2010-08-27,18.1710,18.2770,17.8890,18.2080,0.0834,0.4601,"60,944,493",0
2010-08-30,18.0640,18.1250,17.9570,17.9880,-0.2202,-1.2093,"45,453,037",0
2010-08-31,17.9570,18.0560,17.7450,17.8510,-0.1368,-0.7605,"66,083,495",0
2010-09-01,18.0110,18.2240,17.9110,18.1860,0.3346,1.8744,"65,235,852",0
2010-09-02,18.1710,18.2240,18.0410,18.2160,0.0306,0.1683,"48,837,044",0
2010-09-03,18.4450,18.6040,18.4140,18.4830,0.2665,1.4630,"64,189,016",0
2010-09-07,18.3380,18.4900,18.2010,18.2320,-0.2514,-1.3602,"51,928,618",0
2010-09-08,18.3150,18.4140,18.0640,18.2080,-0.0233,-0.1278,"65,512,329",0
2010-09-09,18.4060,18.4220,18.2540,18.2700,0.0617,0.3389,"46,028,831",0
2010-09-10,18.2470,18.2850,18.1020,18.1480,-0.1221,-0.6683,"58,293,790",0
2010-09-13,18.4140,19.2440,18.3310,19.1070,0.9590,5.2844,"114,680,387",0
2010-09-14,19.0530,19.2890,18.9390,19.0450,-0.0615,-0.3219,"87,160,392",0
2010-09-15,19.0990,19.1900,18.9620,19.1140,0.0689,0.3618,"56,204,376",0
2010-09-16,19.0690,19.3040,19.0610,19.2740,0.1596,0.8350,"44,548,260",0
2010-09-17,19.3270,19.4260,19.0840,19.1900,-0.0837,-0.4343,"70,341,518",0
2010-09-20,19.2360,19.4190,19.1070,19.3500,0.1599,0.8332,"49,877,219",0
2010-09-21,19.3420,19.3420,19.0840,19.1370,-0.2132,-1.1018,"52,924,157",0
2010-09-22,18.9390,19.0000,18.5360,18.7260,-0.4108,-2.1466,"94,299,353",0
2010-09-23,18.6500,18.7110,18.5360,18.5890,-0.1370,-0.7316,"46,210,109",0
2010-09-24,18.7490,18.8700,18.7030,18.8550,0.2661,1.4315,"51,948,788",0
2010-09-27,18.9090,19.0150,18.7110,18.8170,-0.0379,-0.2010,"43,732,859",0
2010-09-28,18.8700,18.9470,18.5280,18.7790,-0.0378,-0.2009,"56,041,120",0
2010-09-29,18.7410,18.7640,18.5660,18.6430,-0.1369,-0.7290,"44,318,896",0
2010-09-30,18.7260,18.8930,18.5360,18.6350,-0.0078,-0.0418,"61,271,057",0
2010-10-01,18.8480,18.8860,18.4900,18.5510,-0.0836,-0.4486,"62,672,276",0
2010-10-04,18.2320,18.2540,18.0940,18.1930,-0.3579,-1.9293,"98,143,158",0
2010-10-05,18.3080,18.6040,18.1930,18.5280,0.3350,1.8413,"78,152,892",0
2010-10-06,18.5050,18.6720,18.3610,18.5890,0.0608,0.3281,"50,489,603",0
2010-10-07,18.7340,18.8330,18.4750,18.6650,0.0759,0.4083,"50,096,043",0
2010-10-08,18.7340,18.7570,18.5430,18.6960,0.0307,0.1645,"41,328,991",0
2010-10-11,18.8250,18.8250,18.6430,18.7110,0.0151,0.0808,"27,587,722",0
2010-10-12,18.7570,18.9700,18.5890,18.8930,0.1826,0.9759,"50,141,421",0
2010-10-13,19.0380,19.4340,18.9390,19.2820,0.3883,2.0552,"75,336,441",0
2010-10-14,19.2440,19.2820,19.0230,19.1980,-0.0838,-0.4346,"51,985,403",0
2010-10-15,19.2960,19.4410,19.1980,19.4340,0.2363,1.2309,"68,954,747",0
2010-10-18,19.4720,19.7460,19.3650,19.6460,0.2123,1.0924,"48,396,780",0
2010-10-19,19.2280,19.3040,18.9850,19.0990,-0.5476,-2.7873,"66,150,875",0
2010-10-20,19.2210,19.3270,19.0990,19.2590,0.1599,0.8372,"56,283,551",0
2010-10-21,19.3270,19.4340,19.0610,19.3420,0.0836,0.4341,"50,032,354",0
2010-10-22,19.4190,19.4340,19.2280,19.3120,-0.0301,-0.1556,"25,844,141",0
2010-10-25,19.2060,19.2890,19.1520,19.1680,-0.1446,-0.7487,"50,912,304",0
2010-10-26,19.1140,19.7610,19.0690,19.7070,0.5398,2.8162,"69,304,104",0
2010-10-27,19.6240,19.8670,19.4950,19.8220,0.1144,0.5805,"64,805,406",0
2010-10-28,19.9440,20.0730,19.7230,19.9970,0.1749,0.8824,"80,730,261",0
2010-10-29,20.6590,20.6970,20.1490,20.2860,0.2890,1.4452,"114,193,191",0
2010-11-01,20.4530,20.7120,20.3160,20.5070,0.2208,1.0885,"61,916,183",0
2010-11-02,20.5900,20.8650,20.5600,20.8410,0.3345,1.6312,"54,402,096",0
2010-11-03,20.8940,20.9180,20.5140,20.5670,-0.2738,-1.3138,"110,255,273",0
