#,Company,Symbol,Weight,Price,Chg,% Chg
406,Dow Inc.,DOW,0.03%,23.73,-0.35,(-1.47%)
407,Snap-on,SNA,0.03%,321.67,-1.49,(-0.46%)
408,Evergy,EVRG,0.03%,72.54,-0.06,(-0.09%)
409,Mid-America Apartment Communities,MAA,0.03%,141.01,-1.35,(-0.95%)
410,Southwest Airlines,LUV,0.03%,31.11,-0.07,(-0.24%)
411,Aptiv,APTV,0.03%,74.3,-0.85,(-1.13%)
412,Fortive,FTV,0.03%,47.8,-0.24,(-0.50%)
413,Expeditors International,EXPD,0.03%,118.41,-0.89,(-0.74%)
414,Hormel Foods,HRL,0.03%,29.05,0.41,(1.41%)
415,Deckers Brands,DECK,0.03%,105.07,1.02,(0.98%)
416,Zebra Technologies,ZBRA,0.03%,305.44,0.70,(0.23%)
417,Best Buy,BBY,0.03%,72.61,0.34,(0.47%)
418,Masco,MAS,0.03%,72.32,-0.70,(-0.97%)
419,Domino's,DPZ,0.03%,445.73,2.87,(0.65%)
420,TKO Group Holdings,TKO,0.03%,182.93,0.32,(0.18%)
421,Omnicom Group,OMC,0.03%,77.55,-0.16,(-0.20%)
422,Hologic,HOLX,0.03%,67.16,-1.60,(-2.33%)
423,Builders FirstSource,BLDR,0.03%,133.13,0.38,(0.28%)
424,Clorox,CLX,0.03%,119.97,-1.28,(-1.06%)
425,Kimco Realty,KIM,0.03%,21.57,-0.06,(-0.28%)
426,Everest Group,EG,0.03%,348.13,4.61,(1.34%)
427,C.H. Robinson,CHRW,0.03%,122.95,1.86,(1.54%)
428,Cooper Companies (The),COO,0.03%,72.63,-0.88,(-1.19%)
429,Brown–Forman,BF.B,0.03%,30.54,0.11,(0.36%)
430,Ball Corporation,BALL,0.03%,52.73,-0.40,(-0.75%)
431,Allegion,ALLE,0.03%,167.15,-1.38,(-0.82%)
432,FactSet,FDS,0.02%,376.78,-10.86,(-2.80%)
433,Centene Corporation,CNC,0.02%,28.93,-0.47,(-1.60%)
434,Textron,TXT,0.02%,79.51,0.22,(0.27%)
435,CF Industries,CF,0.02%,85.99,0.55,(0.65%)
436,J.B. Hunt,JBHT,0.02%,141.74,-0.79,(-0.55%)
437,Avery Dennison,AVY,0.02%,175.88,0.19,(0.11%)
438,Alexandria Real Estate Equities,ARE,0.02%,77.48,0.02,(0.03%)
439,Paycom,PAYC,0.02%,234.25,7.30,(3.21%)
440,Regency Centers,REG,0.02%,71.56,-0.17,(-0.24%)
441,"UDR, Inc.",UDR,0.02%,38.55,-0.27,(-0.70%)
442,Franklin Resources,BEN,0.02%,24.52,-0.04,(-0.16%)
443,Fox Corporation (Class B),FOX,0.02%,53.98,-0.03,(-0.06%)
444,Viatris,VTRS,0.02%,10.74,0.08,(0.80%)
445,Nordson Corporation,NDSN,0.02%,220.8,7.28,(3.41%)
446,Solventum,SOLV,0.02%,71.95,-0.90,(-1.23%)
447,Fox Corporation (Class A),FOXA,0.02%,58.68,-0.29,(-0.49%)
448,Baxter International,BAX,0.02%,23.83,-0.45,(-1.83%)
449,IDEX Corporation,IEX,0.02%,162.44,-2.03,(-1.24%)
450,J.M. Smucker Company (The),SJM,0.02%,113.06,0.01,(0.01%)
451,Healthpeak Properties,DOC,0.02%,17.3,0.08,(0.44%)
452,Jack Henry & Associates,JKHY,0.02%,163.26,-0.54,(-0.33%)
453,Wynn Resorts,WYNN,0.02%,111.3,-0.22,(-0.19%)
454,Universal Health Services,UHS,0.02%,181.58,-3.12,(-1.69%)
455,Camden Property Trust,CPT,0.02%,107.95,-0.49,(-0.45%)
456,Pool Corporation,POOL,0.02%,308.5,-6.45,(-2.05%)
457,Stanley Black & Decker,SWK,0.02%,73.3,-0.62,(-0.84%)
458,Globe Life,GL,0.02%,139.63,0.53,(0.38%)
459,Generac,GNRC,0.02%,190.57,0.91,(0.48%)
460,News Corp (Class A),NWSA,0.02%,29.72,0.11,(0.35%)
461,Host Hotels & Resorts,HST,0.02%,16.23,0.11,(0.65%)
462,Hasbro,HAS,0.02%,79.51,-0.19,(-0.23%)
463,Skyworks Solutions,SWKS,0.02%,74.51,-0.62,(-0.82%)
464,Dayforce,DAY,0.02%,68.9,1.50,(2.23%)
465,Akamai Technologies,AKAM,0.02%,76.25,0.19,(0.24%)
466,Pinnacle West,PNW,0.02%,91.21,-1.11,(-1.20%)
467,Paramount Skydance Corp,PSKY,0.02%,16.13,2.15,(15.38%)
468,Assurant,AIZ,0.02%,214.84,-0.56,(-0.26%)
469,Norwegian Cruise Line Holdings,NCLH,0.02%,23.38,-0.47,(-1.97%)
470,"BXP, Inc.",BXP,0.02%,66.48,0.05,(0.08%)
